Vmag,Plx,e_Plx,B-V,SpType
10.62,3.9,2.06,0.359,A2
8.05,3.47,0.78,0.018,B9
7.8,4.52,1.08,0.43,F5
5.71,5.97,0.7,0.911,G8III
7.87,2.6,0.96,1.566,K2
7.64,9.35,0.92,0.5,F5IV/V
7.66,4.21,1.23,1.3,K0
8.68,4.77,1.44,0.944,G8III
8.12,16.74,1.28,0.619,F8V
10.1,10.48,1.48,0.644,G2
8.67,7.85,1.17,0.513,F5V
10.46,19.83,5.16,1.36,M0
9.87,6.49,1.44,0.551,F6/F7V
9.48,5.52,1.74,0.53,F5V
7.04,1.27,0.7,2.835,C5p
8.44,4.49,1.08,0.898,G0
9.88,7.35,1.74,0.509,F5IV/V
7.05,3.0,0.82,1.55,M1III
8.29,9.15,0.76,0.538,F6V
9.34,8.16,1.21,0.543,F7V
7.73,4.44,0.75,0.455,F0
6.22,4.5,0.73,0.97,G7II-III
5.53,5.84,0.61,1.615,M2III
8.53,0.3,0.86,1.315,K3II/III
7.23,5.33,0.94,0.388,F0
8.61,20.42,1.91,0.787,G5
11.28,27.11,2.33,1.308,M2
10.76,31.35,4.17,1.384,M1.5V:
8.93,0.27,1.09,0.021,A0
7.95,9.93,1.95,0.654,G0IV
7.46,4.73,0.67,0.16,A2IV
8.6,8.29,0.97,0.435,F3V
8.55,0.36,0.87,1.093,G8III
9.2,12.08,1.33,0.606,G0
6.82,7.49,0.83,1.071,K0
8.29,2.83,1.09,1.183,K1IIICNIV
6.83,3.66,0.83,1.197,K2III
4.78,14.77,0.47,1.254,K2III
7.21,5.07,0.7,1.169,K0
5.58,0.86,0.56,0.407,F0III
8.7,5.08,1.06,0.366,F2V
8.06,2.94,0.95,0.969,G5
6.5,15.2,0.63,0.182,Am...
9.32,6.6,1.3,0.559,F8
9.14,2.93,1.38,1.08,K0III
8.13,8.11,0.83,0.2,A4V
10.62,1.89,1.91,0.358,F0
6.62,3.51,0.79,0.545,F5IV
9.96,1.3,1.71,0.264,A0
8.64,20.1,1.22,0.62,G5
6.6,5.84,0.78,1.153,K2III-IV
6.25,2.45,0.69,-0.042,B9IIIp Mn
7.83,6.34,1.89,1.074,K0/K1IV
10.03,1.62,1.45,1.289,B0
9.04,8.98,0.93,0.546,F7V
8.47,5.61,1.1,1.35,K5
7.33,16.04,0.69,0.73,K0
8.66,3.57,0.75,1.364,K5
10.35,20.05,1.64,1.033,K3
5.13,7.98,0.71,-0.128,B7III-IV
8.96,4.39,1.29,0.306,A9V
8.49,-0.13,1.19,1.569,K5
11.26,22.92,2.17,0.932,K3
8.15,4.22,0.96,0.584,F8
7.04,7.5,0.84,1.06,K1III
10.02,5.1,1.42,0.456,F5
8.9,5.54,1.23,0.459,F8
7.78,7.56,1.37,0.411,F3IV...
4.37,7.86,0.94,1.631,M3III
9.93,2.28,1.39,0.283,A2
8.6,3.09,0.84,0.1,B8V
8.51,6.87,1.28,0.903,G5
7.09,7.03,0.89,0.999,K0III
6.93,16.92,0.81,0.292,A3
8.68,2.07,0.8,-0.052,B9V
8.98,2.38,1.09,1.5,K5
9.84,2.71,1.33,0.696,G0
8.98,2.92,1.26,0.107,A3V
7.98,4.41,0.82,0.97,G9III
10.16,-0.59,1.74,0.45,Ap...
8.86,9.46,1.18,0.66,G3V
8.58,3.5,0.9,0.06,B9
9.56,1.95,1.34,1.113,R...
9.24,63.03,1.98,1.39,M0V
9.63,5.96,2.02,0.509,F5V
5.8,80.63,3.03,0.69,G3V
9.05,1.27,1.11,0.976,O7
8.45,1.31,1.03,0.248,A2
8.86,3.89,1.83,1.035,G9II-III
7.84,3.98,0.87,0.923,G5
8.86,3.82,1.07,0.53,K0
8.93,5.47,1.25,0.172,A1m...
7.97,9.02,2.5,0.556,F7V
6.9,14.91,0.9,0.534,G0V
8.47,2.8,1.12,1.171,K0
6.77,2.51,0.64,1.832,M0
8.55,3.32,1.16,1.004,K0
5.04,6.4,0.87,-0.15,B4V
8.48,29.75,1.21,0.888,K0
8.53,11.74,1.8,0.53,F8
6.33,7.55,0.82,0.182,A6V
8.99,6.69,1.38,0.5,G0
8.64,10.49,1.23,0.488,F5
9.55,2.49,1.41,0.237,A3
8.74,10.47,1.17,0.57,G0
12.43,22.98,4.38,1.49,M3
8.16,3.31,1.11,1.032,G5
9.46,4.77,1.47,0.944,G8/K0III
5.7,26.53,0.77,0.315,F0V
7.62,8.08,1.0,0.517,F8
8.95,0.98,1.18,1.677,K5
8.97,1.62,1.16,0.952,K0
8.94,5.12,1.11,0.276,A0
7.24,4.07,0.88,0.074,A0
10.32,3.17,1.67,0.323,F2
8.24,10.06,0.99,0.474,F5
8.62,2.6,1.1,0.303,F0
9.18,2.16,1.59,0.981,K0III
8.53,2.53,1.0,1.274,K3III
8.54,8.84,1.25,0.384,F2
8.56,9.32,1.02,0.436,G0
9.41,2.46,1.07,0.967,G6/G8III
5.87,1.57,1.67,1.073,G8III
7.2,-0.69,9.62,0.085,A2V
9.05,7.65,1.93,0.47,G0
9.52,3.88,1.36,0.832,G8
7.7,7.8,0.95,1.003,G5
8.17,3.36,0.99,0.29,A3
7.29,2.73,0.63,0.118,A0
9.26,3.49,0.94,1.8,M2
7.94,3.21,0.89,0.016,A0
8.42,4.14,1.05,1.005,G8III
8.56,10.78,1.28,0.602,F8
7.52,6.27,0.81,0.18,A0
7.74,7.68,1.11,0.483,F2
8.85,2.62,1.16,1.113,K1III
9.01,1.25,1.47,1.01,K0
7.17,21.58,1.65,0.617,G0
9.04,7.23,1.56,0.489,F3/F5V
10.3,0.63,1.67,0.254,F0/F2V
7.64,9.53,0.87,0.532,F8
8.27,2.16,2.57,0.128,A0
8.44,8.62,1.31,0.423,F2
9.58,4.59,1.21,0.5,F6/F7IV
8.43,5.18,1.11,0.007,A0V
8.49,2.5,1.03,1.18,K0
9.64,2.91,1.08,0.31,B8
9.17,2.6,1.31,1.222,K0
8.09,2.96,1.08,1.26,K0
9.0,6.32,1.32,0.903,G8IV
6.25,16.16,0.96,0.526,F6/F7V
8.56,4.77,1.27,0.521,F5
10.81,3.36,2.03,0.565,F8
8.76,2.37,1.28,1.01,K0
7.76,7.41,0.93,0.967,G8IV
7.82,4.11,0.8,1.041,K0III
7.9,3.49,0.74,0.668,F8
8.52,3.31,1.13,1.036,G5
9.73,18.29,1.56,0.99,K3
9.19,6.08,1.68,0.346,F0
8.1,9.03,1.17,0.342,F0
8.75,13.24,1.03,0.552,F8
8.14,5.19,1.99,0.88,K0
8.65,-0.53,1.21,1.349,K2III
10.3,-0.95,2.86,1.082,K0...
6.46,6.78,0.88,1.176,K1III
6.73,5.96,0.76,0.051,A2
7.96,11.84,1.16,0.421,F2/F3V
9.53,4.73,1.44,0.461,F0
8.87,3.15,1.18,0.081,A0V
6.59,6.28,0.78,1.122,K0
8.65,0.54,1.23,1.455,M0
9.64,6.1,1.44,0.432,F2V
9.15,8.21,2.41,0.424,F3V
9.04,4.31,1.25,0.422,F0V
12.04,32.93,3.49,1.473,M1
8.42,3.69,0.9,1.174,K0
8.09,3.38,1.13,1.125,K1IIICN...
9.06,1.06,0.94,1.688,K5III:
8.09,11.66,1.42,0.455,F2
8.18,0.24,1.01,1.462,K5
8.77,3.82,1.02,1.125,G5
7.36,4.7,0.63,0.146,A2
9.16,4.81,1.11,0.232,A2III
8.82,1.39,1.31,0.979,G8/K0III
11.14,1.86,2.09,0.041,A0V
6.24,0.93,0.57,0.332,B3Ia
9.44,5.68,4.61,0.439,F3V
7.49,15.55,0.95,0.636,G0
6.96,15.84,0.81,0.353,F2V
7.94,2.79,0.95,-0.023,B2IVne+...
8.69,0.81,0.87,0.12,B8V
8.15,4.83,0.97,0.134,A2
8.45,2.88,1.1,1.655,M0
7.92,1.62,0.97,1.408,K0
7.45,4.99,0.99,0.353,A5
9.01,2.11,1.04,0.956,G8III
8.55,1.38,1.06,1.212,K1IV/VCN...
9.23,0.11,0.93,1.006,K0
9.16,1.19,1.4,1.538,K5
7.9,5.49,0.97,1.071,K0
8.68,3.48,1.17,1.011,K0III
7.78,15.26,1.03,0.563,F8/G0V
8.21,1.46,1.04,-0.123,Ap...
8.11,2.92,0.79,-0.019,A0
8.29,13.14,0.97,0.488,F6V
7.89,8.63,1.11,0.401,F0
9.67,2.83,1.45,0.397,F0V
8.24,25.29,1.11,0.78,G8V
6.8,6.42,0.75,0.06,A2
8.18,2.81,1.03,1.015,K0
8.44,9.67,0.86,0.508,F5V
4.55,14.31,0.92,-0.047,B9IVn
7.45,6.04,0.85,0.244,A3
6.31,3.31,0.6,1.629,M4
8.15,5.15,0.98,0.316,Am...
8.27,6.16,1.0,0.136,A2
7.66,20.44,0.96,0.741,G5IV
8.59,14.36,2.44,0.616,G2V
11.55,16.27,2.71,1.26,M0
7.09,13.9,0.84,0.303,F0
8.54,4.59,1.04,0.23,A7V
9.58,12.24,1.44,0.7,G5V
8.44,6.36,0.9,0.456,F0
8.59,-0.56,0.85,0.36,B0Ibp
8.01,10.62,1.46,0.406,F3/F5V
8.29,5.58,1.02,0.54,G0
9.62,6.67,0.97,0.657,F8V
7.26,5.48,1.25,0.355,F0
7.91,5.53,0.62,0.314,F0III/IV
9.45,2.07,1.37,1.115,G8/K0IV
8.19,1.2,0.84,0.26,O8e
8.93,9.88,1.18,0.607,G2/G3V
7.65,3.93,0.97,0.992,G8IV
8.53,8.18,1.0,0.491,F5
7.38,6.15,0.89,1.003,K0
8.56,14.48,1.07,0.615,F8
8.76,0.82,1.22,1.692,M0
9.56,2.04,1.28,0.39,A2
7.09,4.24,0.92,-0.085,B8V
9.83,9.2,1.5,0.699,G5
5.9,0.89,0.58,0.274,A1III
10.8,1.88,2.21,0.882,Gp
8.41,6.58,0.94,0.563,F6V
9.05,5.54,1.44,0.16,A1/A2IV/V
8.79,0.07,0.98,0.08,B0
8.88,5.57,1.09,0.253,A0
7.59,1.47,0.77,1.68,K5
9.6,11.87,1.49,0.75,G5
10.66,-1.21,1.79,1.45,B
8.55,4.12,0.84,0.037,A1V
8.11,14.91,1.01,0.484,F6V
9.44,0.58,1.57,1.069,G8IV
9.6,7.92,1.55,0.549,G0V
5.78,11.29,0.92,1.084,K0III
10.66,6.82,2.4,1.5,M5e-M7e
6.38,7.75,0.91,0.006,A1V
8.8,5.27,1.12,1.031,K1III
7.79,2.46,0.85,-0.089,B3V
8.6,16.79,1.13,0.64,G5
7.77,4.1,1.06,-0.058,B8/B9V
9.8,22.52,1.48,0.855,K0V
9.22,3.01,1.4,1.001,K0
4.99,2.03,0.93,1.619,K3Ibvar
8.43,9.89,1.1,0.611,G0
7.33,10.92,0.64,0.444,F2V
8.93,0.95,0.79,1.025,G8III
9.09,17.09,0.88,0.639,G3/G5III/IV
9.26,4.67,0.93,1.162,K2
8.73,3.4,0.93,1.036,K0III
9.18,-0.43,1.49,1.169,K2III
8.12,2.15,1.05,2.53,C5II
9.26,1.99,1.57,1.149,K0III
8.94,1.59,1.32,1.181,K1IV
6.11,1.94,1.12,0.159,B9III
9.13,1.38,0.79,0.239,A2/A3IV
7.9,4.83,1.03,1.249,K2
9.34,1.26,1.47,0.95,K0
7.13,2.46,0.81,1.26,K1III
10.82,0.81,2.56,1.021,M5
7.46,4.15,0.66,1.072,K0/K1III
8.72,1.39,1.34,1.508,K2
7.02,6.13,1.59,1.1,K0
8.37,4.04,1.18,0.881,K0
5.59,5.7,0.53,-0.1,B8III
7.37,11.46,0.84,0.422,F5IV
5.68,10.3,0.58,1.051,K1III
8.56,7.35,1.12,0.792,G5
8.72,2.46,1.14,-0.014,A2
9.06,4.16,1.2,0.368,F0V
8.82,4.08,1.2,0.433,F0
8.18,5.84,1.2,0.376,A5
9.39,9.37,2.81,0.735,G5
9.1,-0.59,1.02,0.652,B2
8.46,1.61,0.92,0.556,F2
9.15,5.46,1.38,0.394,A3
8.28,5.65,1.16,0.002,A0IV
8.18,6.95,1.91,0.43,G0
7.93,10.47,1.53,0.478,F5
9.21,3.05,1.34,0.964,K0
6.09,27.18,4.3,0.632,G2V
8.31,3.15,1.1,0.036,A0IV/V
7.83,2.91,0.97,1.256,K2III
8.72,3.73,1.1,0.082,A0
6.61,2.13,0.82,0.025,B3V
6.25,5.34,0.77,1.368,K4IIIb
7.82,39.06,0.93,0.755,G9V
8.66,3.49,1.2,1.614,K5
8.15,6.02,0.81,0.475,F5
8.97,11.56,1.31,0.674,G3V
8.15,1.55,1.04,1.201,K2
7.47,14.53,1.21,0.55,F8V
8.63,1.67,1.1,1.57,M0
8.13,22.09,0.71,0.71,G5V
8.23,4.41,1.1,0.986,G9III
8.41,8.49,0.77,0.461,F5V
6.47,7.63,0.76,0.946,G8II
9.83,-0.99,1.46,1.54,K5
8.64,6.19,1.54,1.3,F5
7.73,19.78,0.87,0.537,G0V
8.64,1.96,0.95,0.889,G6III
8.94,8.38,1.24,0.415,F2
8.84,8.73,1.17,0.759,G5
6.32,6.95,0.81,1.099,G9III:
5.8,4.5,0.56,-0.067,B8MNp...
8.97,5.12,1.34,0.86,G8/K0V
7.53,23.9,0.85,0.577,G0V
7.41,2.53,0.69,1.288,K0
7.8,5.43,1.9,0.437,F0
8.14,14.25,0.83,0.593,G0V
6.71,6.66,0.75,0.068,A1Vn
8.73,1.42,1.2,1.124,K1III
9.37,6.64,8.01,0.51,F0
8.69,11.12,1.22,0.644,G5
9.95,86.98,1.41,1.472,M2
7.1,6.27,0.87,1.128,K1III
8.09,2.45,0.9,0.496,F5
6.88,10.35,0.81,0.174,A2
9.48,-0.08,1.69,1.037,K2
9.04,1.4,1.32,0.692,F2V
9.3,10.28,1.33,0.538,F3/F5V
8.49,62.48,0.82,1.076,K5V
8.3,3.18,1.04,0.998,G5
7.95,2.21,1.04,0.991,G5
7.08,5.31,0.63,-0.006,B9
6.93,4.29,0.83,0.94,G8III/IV
8.38,4.33,1.15,-0.06,B9V
4.61,25.38,1.05,1.029,K1III
8.56,229.33,1.08,1.462,M2V
8.78,1.29,1.02,1.156,K2III
7.42,9.55,0.76,0.191,A1Vs
8.26,1.69,1.27,1.052,G4V:p
7.71,5.05,0.64,1.093,K0III
6.91,6.75,1.03,1.12,G5
9.16,9.89,1.18,0.782,G8IV
8.99,3.3,1.34,1.199,K7
8.63,4.55,0.99,0.46,G0
9.9,2.61,1.46,0.599,F8
7.59,4.65,0.92,1.045,K0
7.39,4.76,0.99,0.99,K0III
7.78,4.79,0.99,1.123,K0III
7.47,2.01,0.96,1.62,M3III
6.97,3.07,0.93,1.444,K5
8.82,18.57,0.95,0.666,G5V
9.13,22.2,1.14,0.735,G5
7.86,11.04,0.91,0.494,F8
7.13,19.81,0.94,0.446,F5
9.45,-1.03,1.35,0.995,G8III/IV
12.04,0.75,22.3,0.501,A0
8.78,3.94,1.45,1.249,K2
7.23,3.52,0.83,1.174,K0
9.73,6.89,1.46,0.725,G5V
7.36,4.25,0.72,0.993,K0III
7.36,2.3,0.82,1.444,K3/K4III
8.47,0.47,0.94,-0.18,B1.5IV
9.37,2.52,1.1,1.537,K5
6.99,4.25,0.78,1.187,K0III
8.2,85.1,2.74,1.41,K2
8.36,7.0,1.01,0.247,A0
8.22,21.03,1.06,0.636,G0
5.55,8.75,0.8,0.901,G5III
9.91,5.59,1.7,0.353,A9/F0V
9.67,2.19,1.68,0.524,F3/F5V
8.6,1.87,1.29,1.1,K1III
10.07,1.32,1.52,0.923,G5
10.15,7.28,1.45,0.677,G5
7.75,5.95,1.68,0.414,F2+...
9.21,4.01,0.94,0.097,A0
9.66,-0.26,1.41,0.787,G5V
8.47,2.62,1.01,0.045,A0
9.37,6.18,1.34,0.507,F6V
9.44,11.21,1.34,0.617,G0
9.99,7.92,1.61,0.646,G5/G6V
7.51,24.85,0.92,0.595,G0V
8.91,2.92,1.19,1.19,K0
7.45,26.24,0.82,0.596,F8
9.57,6.5,1.46,0.51,G0
8.99,12.99,0.94,0.585,F8V
8.58,25.77,2.07,0.92,K0...
6.9,5.31,0.73,1.564,K5
7.55,7.05,1.15,0.3,A3
7.93,4.26,0.91,0.239,A3
9.71,0.87,1.53,0.915,G8IV/V
9.57,1.54,1.37,1.812,M1/M2
8.55,4.19,1.14,1.357,K3III
6.62,2.9,0.77,1.531,K5III
7.89,3.07,1.01,0.93,G5
7.51,5.66,0.82,1.112,K1III-IV
7.36,0.08,0.65,0.126,O6pe
8.66,1.33,1.08,-0.039,A2
8.51,1.8,0.83,1.576,K3III
6.65,3.28,0.85,0.912,G5
9.67,13.05,1.67,0.633,G3V
7.8,11.07,1.0,0.501,F5
8.21,5.34,1.01,1.108,G5
7.9,4.39,0.96,-0.03,B9V
8.94,2.09,1.2,1.0,K0
9.82,5.66,1.65,0.418,F2V
8.69,7.38,1.55,0.509,F8
8.57,-0.16,1.12,1.612,M1III
8.89,5.95,1.14,0.476,F5IV/V
5.98,49.3,1.05,0.687,G5V
7.92,5.38,1.67,0.459,F3IV
7.6,2.35,1.15,1.539,M...
8.22,4.71,1.03,1.22,K2
5.7,39.0,0.64,0.519,G1IV...
12.17,56.92,2.73,1.55,M4
8.75,7.24,1.32,0.487,F6/F7V
6.93,8.6,0.73,1.086,K0
7.97,4.78,0.82,0.256,F0
8.06,3.09,0.8,1.431,K2
10.13,4.69,1.62,0.593,F8
7.31,6.73,0.9,0.402,F2IV
8.35,8.11,0.91,0.624,G1V
5.57,3.32,0.54,-0.023,B9III
9.85,4.6,1.18,0.526,F6V
9.16,-1.67,1.78,1.045,G8III
9.03,3.63,1.27,1.349,K1/K2III:
10.07,5.95,1.54,0.59,F5
9.76,2.9,1.34,1.39,M6e
9.35,3.91,1.56,0.41,F2V
10.95,13.26,2.41,1.008,K1
8.87,6.15,1.06,0.426,F8
6.68,5.13,0.79,0.986,G9III
9.69,10.02,3.4,0.578,F6V
8.05,4.21,1.09,0.112,A0
10.3,2.04,1.67,0.506,F5
6.07,72.98,0.75,0.752,K0V
8.51,4.0,1.09,1.107,K0
7.71,5.02,0.87,1.038,G8III
8.56,5.61,1.12,0.548,F7V
8.26,2.44,0.98,1.233,K0
8.62,2.41,1.12,0.148,B9
9.83,2.3,10.4,0.587,G2/G3V
9.84,9.89,1.59,0.69,G0
9.74,4.82,1.5,0.494,F8
8.21,9.08,1.09,0.574,F8
8.72,6.36,0.97,0.41,F4IVws
8.03,1.65,0.76,1.631,K5p...
9.0,0.55,1.1,-0.09,F5
6.19,25.59,0.75,0.386,F2IV
8.22,3.69,1.0,0.951,G5
7.93,4.96,0.97,1.107,K0
10.18,0.77,1.61,0.58,F5V
8.98,6.64,1.23,0.567,F8
9.13,1.34,1.33,1.125,K0
6.91,3.69,0.8,1.123,K0III
8.79,1.16,1.17,1.234,K3III
8.23,18.71,1.05,0.58,G0
10.24,3.82,3.43,0.402,F2/F3V
8.83,2.0,1.14,1.114,G5
7.62,3.73,0.94,0.955,G8III
8.96,4.04,1.13,0.446,F3IV/V
10.41,2.89,1.9,0.51,B8
8.97,3.75,1.18,0.05,A
9.61,15.97,1.47,0.761,G5
8.29,8.4,0.93,0.387,F0
8.3,0.43,1.15,1.552,M...
8.26,4.01,1.06,0.494,F5
7.44,7.12,0.92,0.203,A5
9.52,4.4,1.07,0.19,A0V
8.2,4.41,0.71,0.295,A3
8.68,7.89,2.34,0.529,F5V
8.65,4.33,1.16,0.061,A1V
10.52,6.74,2.27,0.512,G0
8.41,5.14,1.01,0.405,F3V
9.18,5.85,1.26,0.333,F2
8.42,4.84,0.88,0.345,A3
8.86,3.28,1.1,1.552,M5
7.92,4.03,0.9,1.054,K0
8.85,4.19,1.28,0.323,A3
9.31,6.51,1.2,0.226,A9V
10.28,6.34,2.0,0.503,F3V
7.56,11.92,0.61,0.419,F5IV-V
7.88,4.23,0.74,0.407,F2
7.99,3.54,1.0,1.441,K0
8.23,17.18,1.0,0.599,F8/G0V
8.52,2.2,1.24,1.084,K1III
9.14,17.98,2.35,0.74,G5
6.2,6.24,0.85,0.133,A2IV/V
7.64,5.87,1.72,0.493,F5
8.95,8.23,1.18,0.653,G0
7.48,2.87,0.87,1.532,K5III
7.06,20.63,0.91,0.463,F5V
7.33,9.37,0.84,1.011,K1IV
8.98,1.52,2.42,0.739,G5
8.24,7.19,1.22,0.271,A6:m...
8.53,7.21,1.14,0.909,K0V
8.4,2.19,0.77,1.014,G8III
7.48,7.51,0.77,0.466,F5IV/V
8.46,1.63,1.06,1.59,K0
9.29,2.41,1.07,1.01,K0
8.57,5.48,0.94,0.249,A5
8.7,30.76,1.21,0.798,K0V
8.5,10.08,0.93,0.451,F5
8.37,8.86,1.46,0.595,F7V
6.87,6.05,0.77,1.124,G5
7.5,2.5,0.69,1.703,M1III
7.39,2.53,0.57,-0.018,B9IV
8.19,8.21,0.99,0.584,F8/G0V
7.56,2.74,1.26,0.9,G5
8.37,9.73,1.0,0.379,F0
7.39,5.37,0.8,1.008,K0
6.73,10.14,0.73,0.951,G5
8.66,2.38,0.88,0.79,G3III
8.25,2.89,1.06,0.17,A0
8.47,3.33,1.15,0.953,G5
8.01,9.58,0.89,0.456,F5
6.83,7.84,0.65,1.158,K1/K2III
9.06,1.6,1.32,1.074,M2III:
8.79,4.21,1.16,1.127,K2III
7.44,7.19,0.92,0.478,F5
6.43,6.69,0.92,-0.146,B8IIIsp...
5.93,12.45,0.74,0.141,A1V
8.85,4.31,1.43,1.196,K0
9.86,4.43,1.32,0.244,A2
8.55,7.06,1.33,0.964,G5
7.66,5.76,0.78,0.181,A3
7.82,21.83,0.84,0.61,G0
9.08,11.55,1.4,0.595,G0
10.1,5.57,1.58,0.57,F8
8.21,3.5,1.11,1.087,K0/K1III
8.85,7.79,2.24,0.631,G3:V: + G2:
7.79,1.17,0.67,1.45,K3III
7.58,3.64,0.94,1.271,K1IV
7.85,10.66,0.99,0.505,F5V
7.18,8.95,0.6,0.156,A3V
7.54,3.83,0.93,0.408,F2
9.72,6.43,1.39,0.434,F3/F5V
7.12,8.19,0.74,0.184,A5
9.77,6.67,1.5,0.306,A8/A9V
8.84,4.37,1.17,1.042,K0III
5.67,10.02,0.71,1.119,K1III
8.15,9.77,0.98,0.617,F8
9.61,3.92,1.34,0.961,G5
8.19,3.44,1.16,1.079,G5
7.27,4.9,0.76,0.207,A3
8.51,3.26,0.84,0.215,A0
8.36,2.42,0.93,1.113,K1IIICN...
10.0,4.93,1.47,0.55,G0
8.74,1.92,0.83,1.227,K2III
6.18,3.25,0.96,1.366,K2III
10.26,7.53,1.63,0.73,G0
10.16,5.68,2.36,0.393,F5V
8.31,4.08,1.06,1.053,K0
8.58,3.46,0.97,0.915,G5
7.04,36.18,1.02,0.624,G2/G3V
8.81,3.75,1.19,0.31,A2
5.99,9.79,0.92,1.034,G8III:
8.22,3.5,1.43,1.064,K1III
9.86,7.73,3.35,0.789,K0V
8.0,2.84,1.05,1.193,G5
9.4,10.7,1.27,0.57,G0
9.1,3.83,1.17,1.169,K1IV
2.07,33.6,0.73,-0.038,B9p
8.11,2.18,0.95,0.098,A0
8.89,2.8,1.1,1.179,K1III
9.43,1.52,1.51,0.47,F2V
7.59,25.15,0.97,0.626,G2V
8.72,2.88,1.35,0.071,A0
9.86,2.3,1.46,0.157,A3III
9.23,0.65,1.34,0.988,K0III
9.5,5.59,1.5,0.493,G:III/IV+..
10.73,45.64,1.92,1.46,M0
7.59,7.6,0.89,0.508,F3/F5V
7.41,12.72,0.86,0.606,F8
9.26,11.01,0.95,0.675,G3/G5IV/V
7.78,14.43,0.96,0.358,F5
7.76,2.77,1.26,1.618,K2
8.94,9.47,1.13,0.419,F5
8.95,2.3,1.37,0.435,F2
6.41,2.17,0.63,0.998,G3II
6.11,2.42,0.79,1.664,M0/M1IIICNp
7.76,8.84,0.94,0.415,F2
7.38,2.89,0.71,1.326,K3III
6.21,30.26,0.69,0.504,F8IV
7.05,5.97,1.04,0.963,G5
7.44,6.36,0.66,-0.006,A0
8.5,5.07,1.56,0.406,F2III/IV
7.84,5.19,0.91,1.125,K0
7.88,5.03,0.85,0.473,F3V
9.1,3.19,0.96,1.113,K0III
8.65,6.86,1.05,0.471,F3V
8.41,16.24,0.7,0.588,G2V
7.81,8.58,0.86,0.481,F5IV
7.43,11.61,1.01,0.296,F0
8.76,0.97,1.18,0.965,G5
7.58,4.72,0.82,0.994,G5
9.55,4.78,1.13,0.473,F5V
6.82,3.19,0.76,1.568,K5
10.24,1.8,1.68,0.46,F0
6.24,7.78,0.81,0.976,K0III
7.31,1.36,1.53,1.43,K2
10.52,3.4,1.82,0.51,F5
9.27,0.25,1.21,1.146,K1III
7.13,3.16,0.96,1.64,M2III
