Vmag,Plx,e_Plx,B-V,Amag,TargetClass
7.52,6.27,0.81,0.18,16.50633770415358,2
7.74,7.68,1.11,0.483,17.166806100157558,3
8.85,2.62,1.16,1.113,15.941506456598727,5
9.01,1.25,1.47,1.01,14.494550065040283,5
7.17,21.58,1.65,0.617,18.84025720173446,4
9.04,7.23,1.56,0.489,18.335691486472655,3
10.3,0.63,1.67,0.254,14.29670274726791,3
7.64,9.53,0.87,0.532,17.53546450319163,3
8.27,2.16,2.57,0.128,14.942268755754654,2
8.44,8.62,1.31,0.423,18.117536329123563,3
9.58,4.59,1.21,0.5,17.889063427686306,3
8.43,5.18,1.11,0.007,17.001648798726166,2
8.49,2.5,1.03,1.18,15.479700043360188,5
9.64,2.91,1.08,0.31,16.959464944929536,1
9.17,2.6,1.31,1.222,16.24486673985409,5
8.09,2.96,1.08,1.26,15.446458555294694,5
9.0,6.32,1.32,0.903,18.003585391411924,4
6.25,16.16,0.96,0.526,17.292206782192835,3
8.56,4.77,1.27,0.521,16.95259189520057,3
10.81,3.36,2.03,0.565,18.44169638694922,3
8.76,2.37,1.28,1.01,15.63374173005052,5
7.76,7.41,0.93,0.967,17.10909103989664,4
7.82,4.11,0.8,1.041,15.889209109380346,5
7.9,3.49,0.74,0.668,15.6141271347959,3
8.52,3.31,1.13,1.036,16.119139968878592,4
9.73,18.29,1.56,0.99,21.041068527382084,5
9.19,6.08,1.68,0.346,18.109517896363673,3
8.1,9.03,1.17,0.342,17.87843875156753,3
8.75,13.24,1.03,0.552,19.35943992551841,3
8.14,5.19,1.99,0.88,16.71583678924229,5
8.65,-0.53,1.21,1.349,12.271379348003945,5
10.3,-0.95,2.86,1.082,15.188618026444239,5
6.46,6.78,0.88,1.176,15.616148469335318,5
6.73,5.96,0.76,0.051,15.606231298701182,2
7.96,11.84,1.16,0.421,18.326758511934507,3
9.53,4.73,1.44,0.461,17.904305703689054,3
8.87,3.15,1.18,0.081,16.361552768948002,2
6.59,6.28,0.78,1.122,15.57979821868598,5
8.65,0.54,1.23,1.455,12.311968799114844,6
9.64,6.1,1.44,0.432,18.566649175053836,3
9.15,8.21,2.41,0.424,18.721715785597205,3
9.04,4.31,1.25,0.422,17.212386350803655,3
12.04,32.93,3.49,1.473,24.62795865355954,6
8.42,3.69,0.9,1.174,16.2551318307953,5
8.09,3.38,1.13,1.125,15.734583501388274,5
9.06,1.06,0.94,1.688,14.186529326323852,5
8.09,11.66,1.42,0.455,18.423492752114974,3
8.18,0.24,1.01,1.462,10.08105620855803,5
8.77,3.82,1.02,1.125,16.680316814558545,4
7.36,4.7,0.63,0.146,15.72048928967859,2
9.16,4.81,1.11,0.232,17.57072538186916,2
8.82,1.39,1.31,0.979,14.535074001270475,4
11.14,1.86,2.09,0.041,17.487564721089583,2
6.24,0.93,0.57,0.332,11.082414742769675,1
9.44,5.68,4.61,0.439,18.211741678555093,3
7.49,15.55,0.95,0.636,18.448651966814282,4
6.96,15.84,0.81,0.353,17.958775886267375,3
7.94,2.79,0.95,-0.023,15.168021016367987,1
8.69,0.81,0.87,0.12,13.232425094393248,1
8.15,4.83,0.97,0.134,16.56973565375756,2
8.45,2.88,1.1,1.655,15.746962438796153,6
7.92,1.62,0.97,1.408,13.967575072713155,5
7.45,4.99,0.99,0.353,15.94050272811695,2
9.01,2.11,1.04,0.956,15.631412276488463,4
8.55,1.38,1.06,1.212,14.249395432006184,5
9.23,0.11,0.93,1.006,9.436963425791125,5
9.16,1.19,1.4,1.538,14.537734806962654,5
7.9,5.49,0.97,1.071,16.59786172225046,5
8.68,3.48,1.17,1.011,16.387896219732905,5
7.78,15.26,1.03,0.563,18.69777266809431,3
8.21,1.46,1.04,-0.123,14.031764278922186,2
8.11,2.92,0.79,-0.019,15.43691425724209,2
8.29,13.14,0.97,0.488,18.882976826118806,3
7.89,8.63,1.11,0.401,17.57005397857605,3
9.67,2.83,1.45,0.397,16.92893217762145,3
8.24,25.29,1.11,0.78,20.254744146722025,4
6.8,6.42,0.75,0.06,15.837675140344267,2
8.18,2.81,1.03,1.015,15.423531599525399,5
8.44,9.67,0.86,0.508,18.367132370415007,3
4.55,14.31,0.92,-0.047,15.328198168798881,1
7.45,6.04,0.85,0.244,16.35518469310566,2
6.31,3.31,0.6,1.629,13.909139968878595,6
8.15,5.15,0.98,0.316,16.709036145205957,2
8.27,6.16,1.0,0.136,17.21790356082213,2
7.66,20.44,0.96,0.741,19.212404457313376,4
8.59,14.36,2.44,0.616,19.375772199531408,4
11.55,16.27,2.71,1.26,22.606937764684297,6
7.09,13.9,0.84,0.303,17.805074001270476,3
8.54,4.59,1.04,0.23,16.849063427686303,2
9.58,12.24,1.44,0.7,20.01890708904771,4
8.44,6.36,0.9,0.456,17.457285578242068,3
8.59,-0.56,0.85,0.36,12.330940135031003,1
8.01,10.62,1.46,0.406,18.14062258372725,3
8.29,5.58,1.02,0.54,17.02317099468789,4
9.62,6.67,0.97,0.657,18.740629169582746,3
7.26,5.48,1.25,0.355,15.953902792421845,3
7.91,5.53,0.62,0.314,16.623625656523494,3
9.45,2.07,1.37,1.115,16.029851727284587,4
8.19,1.2,0.84,0.26,13.585906230238123,0
8.93,9.88,1.18,0.607,18.90378472293814,4
7.65,3.93,0.97,0.992,15.621962751877133,4
8.53,8.18,1.0,0.491,18.093766518356617,3
7.38,6.15,0.89,1.003,16.324375578877085,5
8.56,14.48,1.07,0.615,19.363842809305645,3
8.76,0.82,1.22,1.692,13.329069261918583,6
9.56,2.04,1.28,0.39,16.108150837129493,2
7.09,4.24,0.92,-0.085,15.226829282963664,1
9.83,9.2,1.5,0.699,19.648939136727776,4
5.9,0.89,0.58,0.274,10.646950033224565,2
10.8,1.88,2.21,0.882,17.1707892463184,4
8.41,6.58,0.94,0.563,17.501129468069777,3
9.05,5.54,1.44,0.16,17.76754882364215,2
8.79,0.07,0.98,0.08,8.015490200071284,1
8.88,5.57,1.09,0.253,17.609275975868645,2
7.59,1.47,0.77,1.68,13.42658667374088,5
9.6,11.87,1.49,0.75,19.972253594772955,4
10.66,-1.21,1.79,1.45,16.07392685158225,1
8.55,4.12,0.84,0.037,16.624486080165674,2
8.11,14.91,1.01,0.484,18.977388217264973,3
9.44,0.58,1.57,1.069,13.257139967814686,4
9.6,7.92,1.55,0.549,19.09362590794747,4
5.78,11.29,0.92,1.084,16.04346970962484,5
10.66,6.82,2.4,1.5,19.828921873282393,6
6.38,7.75,0.91,0.006,15.82650851253155,2
8.8,5.27,1.12,1.031,17.409053076062733,5
7.79,2.46,0.85,-0.089,14.744675535516896,1
8.6,16.79,1.13,0.64,19.72525348069024,4
7.77,4.1,1.06,-0.058,15.833919283598677,1
9.8,22.52,1.48,0.855,21.562841930896546,5
9.22,3.01,1.4,1.001,16.612832477969217,5
4.99,2.03,0.93,1.619,11.527480189566065,5
8.43,9.89,1.1,0.611,18.405981457985895,4
7.33,10.92,0.64,0.444,17.521113191843593,3
8.93,0.95,0.79,1.025,13.818618026444238,4
9.09,17.09,0.88,0.639,20.253710313603683,4
9.26,4.67,0.93,1.162,17.606584402830563,5
8.73,3.4,0.93,1.036,16.387394585211275,5
9.18,-0.43,1.49,1.169,12.347342277897933,5
8.12,2.15,1.05,2.53,14.782192299578027,7
9.26,1.99,1.57,1.149,15.754265382048533,5
8.94,1.59,1.32,1.181,14.946985621602257,5
6.11,1.94,1.12,0.159,12.549008649651132,1
9.13,1.38,0.79,0.239,14.829395432006184,2
7.9,4.83,1.03,1.249,16.31973565375756,5
9.34,1.26,1.47,0.95,14.841852725587815,5
7.13,2.46,0.81,1.26,14.084675535516896,5
10.82,0.81,2.56,1.021,15.362425094393249,6
7.46,4.15,0.66,1.072,15.550240483560465,5
8.72,1.39,1.34,1.508,14.435074001270475,5
7.02,6.13,1.59,1.1,15.957302372592075,5
8.37,4.04,1.18,0.881,16.401906825553024,5
5.59,5.7,0.53,-0.1,14.369374278362457,1
7.37,11.46,0.84,0.422,17.665923088156855,3
5.68,10.3,0.58,1.051,15.74418612352586,5
8.56,7.35,1.12,0.792,17.891436695420975,4
8.72,2.46,1.14,-0.014,15.674675535516897,2
9.06,4.16,1.2,0.368,17.155466653133715,3
8.82,4.08,1.2,0.433,16.8733008154494,3
8.18,5.84,1.2,0.376,17.012064235561997,2
9.39,9.37,2.81,0.735,19.248697954438892,4
9.1,-0.59,1.02,0.652,12.954260058210721,1
8.46,1.61,0.92,0.556,14.49412938015925,3
9.15,5.46,1.38,0.394,17.835963213523687,2
8.28,5.65,1.16,0.002,17.040242239097193,2
8.18,6.95,1.91,0.43,17.38992402295057,4
7.93,10.47,1.53,0.478,18.02973340839421,3
9.21,3.05,1.34,0.964,16.63149919673393,5
6.09,27.18,4.3,0.632,18.261247261982376,4
8.31,3.15,1.1,0.036,15.801552768948003,2
7.83,2.91,0.97,1.256,15.149464944929537,5
8.72,3.73,1.1,0.082,16.57854415904344,2
6.61,2.13,0.82,0.025,13.251898017193689,1
6.25,5.34,0.77,1.368,14.887706285142782,5
7.82,39.06,0.93,0.755,20.778661194759177,4
8.66,3.49,1.2,1.614,16.3741271347959,5
8.15,6.02,0.81,0.475,17.04798245628912,3
8.97,11.56,1.31,0.674,19.284789170422552,4
8.15,1.55,1.04,1.201,14.101658490851458,5
7.47,14.53,1.21,0.55,18.28132807149011,3
8.63,1.67,1.1,1.57,14.743582355737917,6
8.13,22.09,0.71,0.71,19.850978579357175,4
8.23,4.41,1.1,0.986,16.452192947339192,4
8.41,8.49,0.77,0.461,18.054538451219763,3
6.47,7.63,0.76,0.946,15.8826226897744,4
9.83,-0.99,1.46,1.54,14.80817597298775,5
8.64,6.19,1.54,1.3,17.598453245100593,3
7.73,19.78,0.87,0.537,19.211131436305802,4
8.64,1.96,0.95,0.889,15.10128035678238,4
8.94,8.38,1.24,0.415,18.55622009315138,3
8.84,8.73,1.17,0.759,18.54507121852785,4
6.32,6.95,0.81,1.099,15.52992402295057,4
5.8,4.5,0.56,-0.067,14.066062568876717,1
8.97,5.12,1.34,0.86,17.516349804879155,4
7.53,23.9,0.85,0.577,19.42198950474069,4
7.41,2.53,0.69,1.288,14.42560260587909,5
7.8,5.43,1.9,0.437,16.473999147944234,3
8.14,14.25,0.83,0.593,18.909074321722645,4
6.71,6.66,0.75,0.068,15.827371145851505,2
8.73,1.42,1.2,1.124,14.491441721915283,5
9.37,6.64,8.01,0.51,18.480840396840087,3
8.69,11.12,1.22,0.644,18.920523936230193,4
9.95,86.98,1.41,1.472,24.647097016646587,6
7.1,6.27,0.87,1.128,16.086337704153582,5
8.09,2.45,0.9,0.496,15.035830421822663,3
6.88,10.35,0.81,0.174,16.954701748964684,2
9.48,-0.08,1.69,1.037,8.995449934959717,5
9.04,1.4,1.32,0.692,14.77064017839119,3
9.3,10.28,1.33,0.538,19.359965573296286,3
8.49,62.48,0.82,1.076,22.46870510434622,5
8.3,3.18,1.04,0.998,15.812135599922163,4
7.95,2.21,1.04,0.991,14.671961368425553,4
7.08,5.31,0.63,-0.006,15.705472605407346,1
6.93,4.29,0.83,0.94,15.09228646092362,4
8.38,4.33,1.15,-0.06,16.56243948176683,1
4.61,25.38,1.05,1.029,16.63245808879343,5
8.56,229.33,1.08,1.462,25.36230435525089,6
8.78,1.29,1.02,1.156,14.332948551496244,5
7.42,9.55,0.76,0.191,17.32001685791873,2
8.26,1.69,1.27,1.052,14.399433523068367,4
7.71,5.05,0.64,1.093,16.226456890593308,5
6.91,6.75,1.03,1.12,16.056518864155123,4
9.16,9.89,1.18,0.782,19.1359814579859,4
8.99,3.3,1.34,1.199,16.58256969938944,5
8.63,4.55,0.99,0.46,16.920056983285562,4
9.9,2.61,1.46,0.599,16.983202536691405,3
7.59,4.65,0.92,1.045,15.92726476444977,5
7.39,4.76,0.99,0.99,15.778034763602466,5
7.78,4.79,0.99,1.123,16.181677567072818,5
7.47,2.01,0.96,1.62,13.985980287102443,6
6.97,3.07,0.93,1.444,14.405691877385934,5
8.82,18.57,0.95,0.666,20.164059518698902,4
9.13,22.2,1.14,0.735,20.861764872253197,4
7.86,11.04,0.91,0.494,18.0748453669659,3
7.13,19.81,0.94,0.446,18.614422377692737,3
9.45,-1.03,1.35,0.995,14.51418612352586,4
12.04,0.75,22.3,0.501,16.4153063169585,2
8.78,3.94,1.45,1.249,16.75748110912787,5
7.23,3.52,0.83,1.174,14.962713317390657,5
9.73,6.89,1.46,0.725,18.921096109538126,4
7.36,4.25,0.72,0.993,15.50194465025156,5
7.36,2.3,0.82,1.444,14.168639180087965,5
8.47,0.47,0.94,-0.18,11.830489289678589,1
9.37,2.52,1.1,1.537,16.37700270390772,5
6.99,4.25,0.78,1.187,15.131944650251558,5
8.2,85.1,2.74,1.41,22.84964780042294,5
8.36,7.0,1.01,0.247,17.585490200071284,2
8.22,21.03,1.06,0.636,19.83419636343161,4
5.55,8.75,0.8,0.901,15.260040265111567,4
9.91,5.59,1.7,0.353,18.647059039432115,2
9.67,2.19,1.68,0.524,16.37222057420059,3
8.6,1.87,1.29,1.1,14.959208032682495,5
10.07,1.32,1.52,0.923,15.672869656029249,4
10.15,7.28,1.45,0.677,19.460656896565187,4
7.75,5.95,1.68,0.414,16.622584828642747,3
9.21,4.01,0.94,0.097,17.22572186310091,2
9.66,-0.26,1.41,0.787,11.734866739854091,4
8.47,2.62,1.01,0.045,15.561506456598728,2
9.37,6.18,1.34,0.507,18.32494237544408,3
9.44,11.21,1.34,0.617,19.688028062974865,4
9.99,7.92,1.61,0.646,19.48362590794747,4
7.51,24.85,0.92,0.595,19.486631965346753,4
8.91,2.92,1.19,1.19,16.23691425724209,5
7.45,26.24,0.82,0.596,19.544819153518112,3
9.57,6.5,1.46,0.51,18.63456678321428,4
8.99,12.99,0.94,0.585,19.558045755365143,3
8.58,25.77,2.07,0.92,20.635572092754522,5
6.9,5.31,0.73,1.564,15.525472605407346,5
7.55,7.05,1.15,0.3,16.790945584956994,2
7.93,4.26,0.91,0.239,16.077047995513595,2
9.71,0.87,1.53,0.915,14.407596263093094,4
9.57,1.54,1.37,1.812,15.507603604182316,6
8.55,4.19,1.14,1.357,16.661070114831478,5
6.62,2.9,0.77,1.531,13.931989989494781,5
7.89,3.07,1.01,0.93,15.325691877385932,4
7.51,5.66,0.82,1.112,16.274082155941358,5
7.36,0.08,0.65,0.126,6.875449934959718,0
8.66,1.33,1.08,-0.039,14.279258204835429,2
8.51,1.8,0.83,1.576,14.78636252551653,5
6.65,3.28,0.85,0.912,14.229369218558396,4
9.67,13.05,1.67,0.633,20.248052558371498,4
7.8,11.07,1.0,0.501,18.020738104393615,3
8.21,5.34,1.01,1.108,16.847706285142785,4
7.9,4.39,0.96,-0.03,16.112322601210607,1
8.94,2.09,1.2,1.0,15.540731430555269,5
9.82,5.66,1.65,0.418,18.58408215594136,3
8.69,7.38,1.55,0.509,18.03028180911521,3
8.57,-0.16,1.12,1.612,9.590599913279624,6
8.89,5.95,1.14,0.476,17.762584828642748,3
5.98,49.3,1.05,0.687,19.44423459638615,4
7.92,5.38,1.67,0.459,16.573911378331946,3
7.6,2.35,1.15,1.539,14.455339311358681,6
8.22,4.71,1.03,1.22,16.585104535644483,5
5.7,39.0,0.64,0.519,18.655323035132497,4
12.17,56.92,2.73,1.55,25.94632445706123,6
8.75,7.24,1.32,0.487,18.048692830985736,3
6.93,8.6,0.73,1.086,16.602492256217836,5
7.97,4.78,0.82,0.256,16.367139483060594,3
8.06,3.09,0.8,1.431,15.509792397124173,5
10.13,4.69,1.62,0.593,18.485864213575418,3
7.31,6.73,0.9,0.402,16.450075321119883,3
8.35,8.11,0.91,0.624,17.89510427105578,4
5.57,3.32,0.54,-0.023,13.175690418520182,1
9.85,4.6,1.18,0.526,18.16378915840787,3
9.16,-1.67,1.78,1.045,15.273582355737917,4
9.03,3.63,1.27,1.349,16.82953312518056,5
10.07,5.95,1.54,0.59,18.942584828642747,3
9.76,2.9,1.34,1.39,17.07198998949478,6
9.35,3.91,1.56,0.41,17.310883786979332,3
10.95,13.26,2.41,1.008,21.56271762034377,5
8.87,6.15,1.06,0.426,17.814375578877083,3
6.68,5.13,0.79,0.986,15.230586825559081,4
9.69,10.02,3.4,0.578,19.694338607656135,3
8.05,4.21,1.09,0.112,16.17141047917834,2
10.3,2.04,1.67,0.506,16.848150837129495,3
6.07,72.98,0.75,0.752,20.38601929514315,5
8.51,4.0,1.09,1.107,16.52029995663981,5
7.71,5.02,0.87,1.038,16.213518585725097,4
8.56,5.61,1.12,0.548,17.304814306280807,3
8.26,2.44,0.98,1.233,15.196949131693646,5
8.62,2.41,1.12,0.148,15.53008521287434,1
9.83,2.3,10.4,0.587,16.638639180087964,4
9.84,9.89,1.59,0.69,19.8159814579859,4
