Vmag,Plx,e_Plx,B-V,SpType,Amag
7.33,16.04,0.69,0.73,K0,18.356021819740725
8.66,3.57,0.75,1.364,K5,16.423341080560967
10.35,20.05,1.64,1.033,K3,21.860571884781002
5.13,7.98,0.71,-0.128,B7III-IV,14.640014456753647
8.96,4.39,1.29,0.306,A9V,17.17232260121061
8.49,-0.13,1.19,1.569,K5,9.059716761534185
11.26,22.92,2.17,0.932,K3,23.06107306647676
8.15,4.22,0.96,0.584,F8,16.27656225480837
7.04,7.5,0.84,1.06,K1III,16.4153063169585
10.02,5.1,1.42,0.456,F5,18.55785088048968
8.9,5.54,1.23,0.459,F8,17.61754882364215
7.78,7.56,1.37,0.411,F3IV...,17.172608977506034
4.37,7.86,0.94,1.631,M3III,13.84711273019704
9.93,2.28,1.39,0.283,A2,16.71967423500227
8.6,3.09,0.84,0.1,B8V,16.049792397124172
8.51,6.87,1.28,0.903,G5,17.69478368529775
7.09,7.03,0.89,0.999,K0III,16.32477662509912
6.93,16.92,0.81,0.292,A3,18.072001793515025
8.68,2.07,0.8,-0.052,B9V,15.25985172728459
8.98,2.38,1.09,1.5,K5,15.86288478528256
9.84,2.71,1.33,0.696,G0,17.00484645437203
8.98,2.92,1.26,0.107,A3V,16.30691425724209
7.98,4.41,0.82,0.97,G9III,16.202192947339192
10.16,-0.59,1.74,0.45,Ap...,14.014260058210722
8.86,9.46,1.18,0.66,G3V,18.739455682008963
8.58,3.5,0.9,0.06,B9,16.300340221751377
9.56,1.95,1.34,1.113,R...,16.01017305681259
9.24,63.03,1.98,1.39,M0V,23.237736535628073
9.63,5.96,2.02,0.509,F5V,18.50623129870118
5.8,80.63,3.03,0.69,G3V,20.332483298996763
9.05,1.27,1.11,0.976,O7,14.569018604779785
8.45,1.31,1.03,0.248,A2,14.03635647827882
8.86,3.89,1.83,1.035,G9II-III,16.80974800662854
7.84,3.98,0.87,0.923,G5,15.839415360368438
8.86,3.82,1.07,0.53,K0,16.77031681455854
8.93,5.47,1.25,0.172,A1m...,17.619936631667155
7.97,9.02,2.5,0.556,F7V,17.746032687709707
6.9,14.91,0.9,0.534,G0V,17.767388217264973
8.47,2.8,1.12,1.171,K0,15.705790156711096
6.77,2.51,0.64,1.832,M0,13.76836860740519
8.55,3.32,1.16,1.004,K0,16.15569041852018
5.04,6.4,0.87,-0.15,B4V,14.070899869919437
8.48,29.75,1.21,0.888,K0,20.84743485032284
8.53,11.74,1.8,0.53,F8,18.878340484557977
6.33,7.55,0.82,0.182,A6V,15.719734758145941
8.99,6.69,1.38,0.5,G0,18.117130588839117
8.64,10.49,1.23,0.488,F5,18.74387744096779
9.55,2.49,1.41,0.237,A3,16.53099673547868
8.74,10.47,1.17,0.57,G0,18.83973340839421
12.43,22.98,4.38,1.49,M3,24.236750121761332
8.16,3.31,1.11,1.032,G5,15.759139968878594
9.46,4.77,1.47,0.944,G8/K0III,17.852591895200568
5.7,26.53,0.77,0.315,F0V,17.818686249911647
7.62,8.08,1.0,0.517,F8,17.15705680387293
8.95,0.98,1.18,1.677,K5,13.906130378462475
8.97,1.62,1.16,0.952,K0,15.017575072713155
8.94,5.12,1.11,0.276,A0,17.486349804879154
7.24,4.07,0.88,0.074,A0,15.2879720461261
10.32,3.17,1.67,0.323,F2,17.825296311088756
8.24,10.06,0.99,0.474,F5,18.25298990359954
8.62,2.6,1.1,0.303,F0,15.694866739854088
9.18,2.16,1.59,0.981,K0III,15.852268755754654
8.53,2.53,1.0,1.274,K3III,15.54560260587909
8.54,8.84,1.25,0.384,F2,18.272261325065365
8.56,9.32,1.02,0.436,G0,18.407079561769905
9.41,2.46,1.07,0.967,G6/G8III,16.364675535516895
5.87,1.57,1.67,1.073,G8III,11.849498262046168
7.2,-0.69,9.62,0.085,A2V,11.394245453686278
9.05,7.65,1.93,0.47,G0,18.46830717576809
9.52,3.88,1.36,0.832,G8,17.464158627971038
7.7,7.8,0.95,1.003,G5,17.160473013452403
8.17,3.36,0.99,0.29,A3,15.80169638694922
7.29,2.73,0.63,0.118,A0,14.470813235203781
9.26,3.49,0.94,1.8,M2,16.9741271347959
7.94,3.21,0.89,0.016,A0,15.472525162024361
8.42,4.14,1.05,1.005,G8III,16.505001705604496
8.56,10.78,1.28,0.602,F8,18.7230938042536
7.52,6.27,0.81,0.18,A0,16.50633770415358
7.74,7.68,1.11,0.483,F2,17.166806100157558
8.85,2.62,1.16,1.113,K1III,15.941506456598727
9.01,1.25,1.47,1.01,K0,14.494550065040283
7.17,21.58,1.65,0.617,G0,18.84025720173446
9.04,7.23,1.56,0.489,F3/F5V,18.335691486472655
10.3,0.63,1.67,0.254,F0/F2V,14.29670274726791
7.64,9.53,0.87,0.532,F8,17.53546450319163
8.27,2.16,2.57,0.128,A0,14.942268755754654
8.44,8.62,1.31,0.423,F2,18.117536329123563
9.58,4.59,1.21,0.5,F6/F7IV,17.889063427686306
8.43,5.18,1.11,0.007,A0V,17.001648798726166
8.49,2.5,1.03,1.18,K0,15.479700043360188
9.64,2.91,1.08,0.31,B8,16.959464944929536
9.17,2.6,1.31,1.222,K0,16.24486673985409
8.09,2.96,1.08,1.26,K0,15.446458555294694
9.0,6.32,1.32,0.903,G8IV,18.003585391411924
6.25,16.16,0.96,0.526,F6/F7V,17.292206782192835
8.56,4.77,1.27,0.521,F5,16.95259189520057
10.81,3.36,2.03,0.565,F8,18.44169638694922
8.76,2.37,1.28,1.01,K0,15.63374173005052
7.76,7.41,0.93,0.967,G8IV,17.10909103989664
7.82,4.11,0.8,1.041,K0III,15.889209109380346
7.9,3.49,0.74,0.668,F8,15.6141271347959
8.52,3.31,1.13,1.036,G5,16.119139968878592
9.73,18.29,1.56,0.99,K3,21.041068527382084
9.19,6.08,1.68,0.346,F0,18.109517896363673
8.1,9.03,1.17,0.342,F0,17.87843875156753
8.75,13.24,1.03,0.552,F8,19.35943992551841
8.14,5.19,1.99,0.88,K0,16.71583678924229
8.65,-0.53,1.21,1.349,K2III,12.271379348003945
10.3,-0.95,2.86,1.082,K0...,15.188618026444239
6.46,6.78,0.88,1.176,K1III,15.616148469335318
6.73,5.96,0.76,0.051,A2,15.606231298701182
7.96,11.84,1.16,0.421,F2/F3V,18.326758511934507
9.53,4.73,1.44,0.461,F0,17.904305703689054
8.87,3.15,1.18,0.081,A0V,16.361552768948002
6.59,6.28,0.78,1.122,K0,15.57979821868598
8.65,0.54,1.23,1.455,M0,12.311968799114844
9.64,6.1,1.44,0.432,F2V,18.566649175053836
9.15,8.21,2.41,0.424,F3V,18.721715785597205
9.04,4.31,1.25,0.422,F0V,17.212386350803655
12.04,32.93,3.49,1.473,M1,24.62795865355954
8.42,3.69,0.9,1.174,K0,16.2551318307953
8.09,3.38,1.13,1.125,K1IIICN...,15.734583501388274
9.06,1.06,0.94,1.688,K5III:,14.186529326323852
8.09,11.66,1.42,0.455,F2,18.423492752114974
8.18,0.24,1.01,1.462,K5,10.08105620855803
8.77,3.82,1.02,1.125,G5,16.680316814558545
7.36,4.7,0.63,0.146,A2,15.72048928967859
9.16,4.81,1.11,0.232,A2III,17.57072538186916
8.82,1.39,1.31,0.979,G8/K0III,14.535074001270475
11.14,1.86,2.09,0.041,A0V,17.487564721089583
6.24,0.93,0.57,0.332,B3Ia,11.082414742769675
9.44,5.68,4.61,0.439,F3V,18.211741678555093
7.49,15.55,0.95,0.636,G0,18.448651966814282
6.96,15.84,0.81,0.353,F2V,17.958775886267375
7.94,2.79,0.95,-0.023,B2IVne+...,15.168021016367987
8.69,0.81,0.87,0.12,B8V,13.232425094393248
8.15,4.83,0.97,0.134,A2,16.56973565375756
8.45,2.88,1.1,1.655,M0,15.746962438796153
7.92,1.62,0.97,1.408,K0,13.967575072713155
7.45,4.99,0.99,0.353,A5,15.94050272811695
9.01,2.11,1.04,0.956,G8III,15.631412276488463
8.55,1.38,1.06,1.212,K1IV/VCN...,14.249395432006184
9.23,0.11,0.93,1.006,K0,9.436963425791125
9.16,1.19,1.4,1.538,K5,14.537734806962654
7.9,5.49,0.97,1.071,K0,16.59786172225046
8.68,3.48,1.17,1.011,K0III,16.387896219732905
7.78,15.26,1.03,0.563,F8/G0V,18.69777266809431
8.21,1.46,1.04,-0.123,Ap...,14.031764278922186
8.11,2.92,0.79,-0.019,A0,15.43691425724209
8.29,13.14,0.97,0.488,F6V,18.882976826118806
7.89,8.63,1.11,0.401,F0,17.57005397857605
9.67,2.83,1.45,0.397,F0V,16.92893217762145
8.24,25.29,1.11,0.78,G8V,20.254744146722025
6.8,6.42,0.75,0.06,A2,15.837675140344267
8.18,2.81,1.03,1.015,K0,15.423531599525399
8.44,9.67,0.86,0.508,F5V,18.367132370415007
4.55,14.31,0.92,-0.047,B9IVn,15.328198168798881
7.45,6.04,0.85,0.244,A3,16.35518469310566
6.31,3.31,0.6,1.629,M4,13.909139968878595
8.15,5.15,0.98,0.316,Am...,16.709036145205957
8.27,6.16,1.0,0.136,A2,17.21790356082213
7.66,20.44,0.96,0.741,G5IV,19.212404457313376
8.59,14.36,2.44,0.616,G2V,19.375772199531408
11.55,16.27,2.71,1.26,M0,22.606937764684297
7.09,13.9,0.84,0.303,F0,17.805074001270476
8.54,4.59,1.04,0.23,A7V,16.849063427686303
9.58,12.24,1.44,0.7,G5V,20.01890708904771
8.44,6.36,0.9,0.456,F0,17.457285578242068
8.59,-0.56,0.85,0.36,B0Ibp,12.330940135031003
8.01,10.62,1.46,0.406,F3/F5V,18.14062258372725
8.29,5.58,1.02,0.54,G0,17.02317099468789
9.62,6.67,0.97,0.657,F8V,18.740629169582746
7.26,5.48,1.25,0.355,F0,15.953902792421845
7.91,5.53,0.62,0.314,F0III/IV,16.623625656523494
9.45,2.07,1.37,1.115,G8/K0IV,16.029851727284587
8.19,1.2,0.84,0.26,O8e,13.585906230238123
8.93,9.88,1.18,0.607,G2/G3V,18.90378472293814
7.65,3.93,0.97,0.992,G8IV,15.621962751877133
8.53,8.18,1.0,0.491,F5,18.093766518356617
7.38,6.15,0.89,1.003,K0,16.324375578877085
8.56,14.48,1.07,0.615,F8,19.363842809305645
8.76,0.82,1.22,1.692,M0,13.329069261918583
9.56,2.04,1.28,0.39,A2,16.108150837129493
7.09,4.24,0.92,-0.085,B8V,15.226829282963664
9.83,9.2,1.5,0.699,G5,19.648939136727776
5.9,0.89,0.58,0.274,A1III,10.646950033224565
10.8,1.88,2.21,0.882,Gp,17.1707892463184
8.41,6.58,0.94,0.563,F6V,17.501129468069777
9.05,5.54,1.44,0.16,A1/A2IV/V,17.76754882364215
8.79,0.07,0.98,0.08,B0,8.015490200071284
8.88,5.57,1.09,0.253,A0,17.609275975868645
7.59,1.47,0.77,1.68,K5,13.42658667374088
9.6,11.87,1.49,0.75,G5,19.972253594772955
10.66,-1.21,1.79,1.45,B,16.07392685158225
8.55,4.12,0.84,0.037,A1V,16.624486080165674
8.11,14.91,1.01,0.484,F6V,18.977388217264973
9.44,0.58,1.57,1.069,G8IV,13.257139967814686
9.6,7.92,1.55,0.549,G0V,19.09362590794747
5.78,11.29,0.92,1.084,K0III,16.04346970962484
10.66,6.82,2.4,1.5,M5e-M7e,19.828921873282393
6.38,7.75,0.91,0.006,A1V,15.82650851253155
8.8,5.27,1.12,1.031,K1III,17.409053076062733
7.79,2.46,0.85,-0.089,B3V,14.744675535516896
8.6,16.79,1.13,0.64,G5,19.72525348069024
7.77,4.1,1.06,-0.058,B8/B9V,15.833919283598677
9.8,22.52,1.48,0.855,K0V,21.562841930896546
9.22,3.01,1.4,1.001,K0,16.612832477969217
4.99,2.03,0.93,1.619,K3Ibvar,11.527480189566065
8.43,9.89,1.1,0.611,G0,18.405981457985895
7.33,10.92,0.64,0.444,F2V,17.521113191843593
8.93,0.95,0.79,1.025,G8III,13.818618026444238
9.09,17.09,0.88,0.639,G3/G5III/IV,20.253710313603683
9.26,4.67,0.93,1.162,K2,17.606584402830563
8.73,3.4,0.93,1.036,K0III,16.387394585211275
9.18,-0.43,1.49,1.169,K2III,12.347342277897933
8.12,2.15,1.05,2.53,C5II,14.782192299578027
9.26,1.99,1.57,1.149,K0III,15.754265382048533
8.94,1.59,1.32,1.181,K1IV,14.946985621602257
6.11,1.94,1.12,0.159,B9III,12.549008649651132
9.13,1.38,0.79,0.239,A2/A3IV,14.829395432006184
7.9,4.83,1.03,1.249,K2,16.31973565375756
9.34,1.26,1.47,0.95,K0,14.841852725587815
7.13,2.46,0.81,1.26,K1III,14.084675535516896
10.82,0.81,2.56,1.021,M5,15.362425094393249
7.46,4.15,0.66,1.072,K0/K1III,15.550240483560465
8.72,1.39,1.34,1.508,K2,14.435074001270475
7.02,6.13,1.59,1.1,K0,15.957302372592075
8.37,4.04,1.18,0.881,K0,16.401906825553024
5.59,5.7,0.53,-0.1,B8III,14.369374278362457
7.37,11.46,0.84,0.422,F5IV,17.665923088156855
5.68,10.3,0.58,1.051,K1III,15.74418612352586
8.56,7.35,1.12,0.792,G5,17.891436695420975
8.72,2.46,1.14,-0.014,A2,15.674675535516897
9.06,4.16,1.2,0.368,F0V,17.155466653133715
8.82,4.08,1.2,0.433,F0,16.8733008154494
8.18,5.84,1.2,0.376,A5,17.012064235561997
9.39,9.37,2.81,0.735,G5,19.248697954438892
9.1,-0.59,1.02,0.652,B2,12.954260058210721
8.46,1.61,0.92,0.556,F2,14.49412938015925
9.15,5.46,1.38,0.394,A3,17.835963213523687
8.28,5.65,1.16,0.002,A0IV,17.040242239097193
8.18,6.95,1.91,0.43,G0,17.38992402295057
7.93,10.47,1.53,0.478,F5,18.02973340839421
9.21,3.05,1.34,0.964,K0,16.63149919673393
6.09,27.18,4.3,0.632,G2V,18.261247261982376
8.31,3.15,1.1,0.036,A0IV/V,15.801552768948003
7.83,2.91,0.97,1.256,K2III,15.149464944929537
8.72,3.73,1.1,0.082,A0,16.57854415904344
6.61,2.13,0.82,0.025,B3V,13.251898017193689
6.25,5.34,0.77,1.368,K4IIIb,14.887706285142782
7.82,39.06,0.93,0.755,G9V,20.778661194759177
8.66,3.49,1.2,1.614,K5,16.3741271347959
8.15,6.02,0.81,0.475,F5,17.04798245628912
8.97,11.56,1.31,0.674,G3V,19.284789170422552
8.15,1.55,1.04,1.201,K2,14.101658490851458
7.47,14.53,1.21,0.55,F8V,18.28132807149011
8.63,1.67,1.1,1.57,M0,14.743582355737917
8.13,22.09,0.71,0.71,G5V,19.850978579357175
8.23,4.41,1.1,0.986,G9III,16.452192947339192
8.41,8.49,0.77,0.461,F5V,18.054538451219763
6.47,7.63,0.76,0.946,G8II,15.8826226897744
9.83,-0.99,1.46,1.54,K5,14.80817597298775
8.64,6.19,1.54,1.3,F5,17.598453245100593
7.73,19.78,0.87,0.537,G0V,19.211131436305802
8.64,1.96,0.95,0.889,G6III,15.10128035678238
8.94,8.38,1.24,0.415,F2,18.55622009315138
8.84,8.73,1.17,0.759,G5,18.54507121852785
6.32,6.95,0.81,1.099,G9III:,15.52992402295057
5.8,4.5,0.56,-0.067,B8MNp...,14.066062568876717
8.97,5.12,1.34,0.86,G8/K0V,17.516349804879155
7.53,23.9,0.85,0.577,G0V,19.42198950474069
7.41,2.53,0.69,1.288,K0,14.42560260587909
7.8,5.43,1.9,0.437,F0,16.473999147944234
8.14,14.25,0.83,0.593,G0V,18.909074321722645
6.71,6.66,0.75,0.068,A1Vn,15.827371145851505
8.73,1.42,1.2,1.124,K1III,14.491441721915283
9.37,6.64,8.01,0.51,F0,18.480840396840087
8.69,11.12,1.22,0.644,G5,18.920523936230193
9.95,86.98,1.41,1.472,M2,24.647097016646587
7.1,6.27,0.87,1.128,K1III,16.086337704153582
8.09,2.45,0.9,0.496,F5,15.035830421822663
6.88,10.35,0.81,0.174,A2,16.954701748964684
9.48,-0.08,1.69,1.037,K2,8.995449934959717
9.04,1.4,1.32,0.692,F2V,14.77064017839119
9.3,10.28,1.33,0.538,F3/F5V,19.359965573296286
8.49,62.48,0.82,1.076,K5V,22.46870510434622
8.3,3.18,1.04,0.998,G5,15.812135599922163
7.95,2.21,1.04,0.991,G5,14.671961368425553
7.08,5.31,0.63,-0.006,B9,15.705472605407346
6.93,4.29,0.83,0.94,G8III/IV,15.09228646092362
8.38,4.33,1.15,-0.06,B9V,16.56243948176683
4.61,25.38,1.05,1.029,K1III,16.63245808879343
8.56,229.33,1.08,1.462,M2V,25.36230435525089
8.78,1.29,1.02,1.156,K2III,14.332948551496244
7.42,9.55,0.76,0.191,A1Vs,17.32001685791873
8.26,1.69,1.27,1.052,G4V:p,14.399433523068367
7.71,5.05,0.64,1.093,K0III,16.226456890593308
6.91,6.75,1.03,1.12,G5,16.056518864155123
9.16,9.89,1.18,0.782,G8IV,19.1359814579859
8.99,3.3,1.34,1.199,K7,16.58256969938944
8.63,4.55,0.99,0.46,G0,16.920056983285562
9.9,2.61,1.46,0.599,F8,16.983202536691405
7.59,4.65,0.92,1.045,K0,15.92726476444977
7.39,4.76,0.99,0.99,K0III,15.778034763602466
7.78,4.79,0.99,1.123,K0III,16.181677567072818
7.47,2.01,0.96,1.62,M3III,13.985980287102443
6.97,3.07,0.93,1.444,K5,14.405691877385934
8.82,18.57,0.95,0.666,G5V,20.164059518698902
9.13,22.2,1.14,0.735,G5,20.861764872253197
7.86,11.04,0.91,0.494,F8,18.0748453669659
7.13,19.81,0.94,0.446,F5,18.614422377692737
9.45,-1.03,1.35,0.995,G8III/IV,14.51418612352586
12.04,0.75,22.3,0.501,A0,16.4153063169585
8.78,3.94,1.45,1.249,K2,16.75748110912787
7.23,3.52,0.83,1.174,K0,14.962713317390657
9.73,6.89,1.46,0.725,G5V,18.921096109538126
7.36,4.25,0.72,0.993,K0III,15.50194465025156
7.36,2.3,0.82,1.444,K3/K4III,14.168639180087965
8.47,0.47,0.94,-0.18,B1.5IV,11.830489289678589
9.37,2.52,1.1,1.537,K5,16.37700270390772
6.99,4.25,0.78,1.187,K0III,15.131944650251558
8.2,85.1,2.74,1.41,K2,22.84964780042294
8.36,7.0,1.01,0.247,A0,17.585490200071284
8.22,21.03,1.06,0.636,G0,19.83419636343161
5.55,8.75,0.8,0.901,G5III,15.260040265111567
9.91,5.59,1.7,0.353,A9/F0V,18.647059039432115
9.67,2.19,1.68,0.524,F3/F5V,16.37222057420059
8.6,1.87,1.29,1.1,K1III,14.959208032682495
10.07,1.32,1.52,0.923,G5,15.672869656029249
10.15,7.28,1.45,0.677,G5,19.460656896565187
7.75,5.95,1.68,0.414,F2+...,16.622584828642747
9.21,4.01,0.94,0.097,A0,17.22572186310091
9.66,-0.26,1.41,0.787,G5V,11.734866739854091
8.47,2.62,1.01,0.045,A0,15.561506456598728
9.37,6.18,1.34,0.507,F6V,18.32494237544408
9.44,11.21,1.34,0.617,G0,19.688028062974865
9.99,7.92,1.61,0.646,G5/G6V,19.48362590794747
7.51,24.85,0.92,0.595,G0V,19.486631965346753
8.91,2.92,1.19,1.19,K0,16.23691425724209
7.45,26.24,0.82,0.596,F8,19.544819153518112
9.57,6.5,1.46,0.51,G0,18.63456678321428
8.99,12.99,0.94,0.585,F8V,19.558045755365143
8.58,25.77,2.07,0.92,K0...,20.635572092754522
6.9,5.31,0.73,1.564,K5,15.525472605407346
7.55,7.05,1.15,0.3,A3,16.790945584956994
7.93,4.26,0.91,0.239,A3,16.077047995513595
9.71,0.87,1.53,0.915,G8IV/V,14.407596263093094
9.57,1.54,1.37,1.812,M1/M2,15.507603604182316
8.55,4.19,1.14,1.357,K3III,16.661070114831478
6.62,2.9,0.77,1.531,K5III,13.931989989494781
7.89,3.07,1.01,0.93,G5,15.325691877385932
7.51,5.66,0.82,1.112,K1III-IV,16.274082155941358
7.36,0.08,0.65,0.126,O6pe,6.875449934959718
8.66,1.33,1.08,-0.039,A2,14.279258204835429
8.51,1.8,0.83,1.576,K3III,14.78636252551653
6.65,3.28,0.85,0.912,G5,14.229369218558396
9.67,13.05,1.67,0.633,G3V,20.248052558371498
7.8,11.07,1.0,0.501,F5,18.020738104393615
8.21,5.34,1.01,1.108,G5,16.847706285142785
7.9,4.39,0.96,-0.03,B9V,16.112322601210607
8.94,2.09,1.2,1.0,K0,15.540731430555269
