,Vmag,Plx,e_Plx,B-V,SpType
283,9.01,   2.11,  1.04, 0.956,G8III
284,8.55,   1.38,  1.06, 1.212,K1IV/VCN...
285,9.23,   0.11,  0.93, 1.006,K0
286,9.16,   1.19,  1.40, 1.538,K5
287,7.9,   5.49,  0.97, 1.071,K0
288,8.68,   3.48,  1.17, 1.011,K0III
289,7.78,  15.26,  1.03, 0.563,F8/G0V
290,8.21,   1.46,  1.04,-0.123,Ap...
291,8.11,   2.92,  0.79,-0.019,A0
292,8.29,  13.14,  0.97, 0.488,F6V
293,7.89,   8.63,  1.11, 0.401,F0
294,9.67,   2.83,  1.45, 0.397,F0V
295,8.24,  25.29,  1.11, 0.780,G8V
296,6.8,   6.42,  0.75, 0.060,A2
297,8.18,   2.81,  1.03, 1.015,K0
298,8.44,   9.67,  0.86, 0.508,F5V
299,4.55,  14.31,  0.92,-0.047,B9IVn
300,7.45,   6.04,  0.85, 0.244,A3
301,6.31,   3.31,  0.60, 1.629,M4
302,8.15,   5.15,  0.98, 0.316,Am...
303,8.27,   6.16,  1.00, 0.136,A2
304,7.66,  20.44,  0.96, 0.741,G5IV
305,8.59,  14.36,  2.44, 0.616,G2V
306,11.55,  16.27,  2.71, 1.260,M0
307,7.09,  13.90,  0.84, 0.303,F0
308,8.54,   4.59,  1.04, 0.230,A7V
309,9.58,  12.24,  1.44, 0.700,G5V
310,8.44,   6.36,  0.90, 0.456,F0
311,8.59,  -0.56,  0.85, 0.360,B0Ibp
312,8.01,  10.62,  1.46, 0.406,F3/F5V
313,8.29,   5.58,  1.02, 0.540,G0
314,9.62,   6.67,  0.97, 0.657,F8V
315,7.26,   5.48,  1.25, 0.355,F0
316,7.91,   5.53,  0.62, 0.314,F0III/IV
317,9.45,   2.07,  1.37, 1.115,G8/K0IV
318,8.19,   1.20,  0.84, 0.260,O8e
319,12.14,   6.48,  4.13,      ,F1:
320,8.93,   9.88,  1.18, 0.607,G2/G3V
321,7.65,   3.93,  0.97, 0.992,G8IV
322,8.53,   8.18,  1.00, 0.491,F5
323,7.38,   6.15,  0.89, 1.003,K0
324,8.56,  14.48,  1.07, 0.615,F8
325,8.76,   0.82,  1.22, 1.692,M0
326,9.56,   2.04,  1.28, 0.390,A2
327,7.09,   4.24,  0.92,-0.085,B8V
328,9.83,   9.20,  1.50, 0.699,G5
329,5.9,   0.89,  0.58, 0.274,A1III
330,10.8,   1.88,  2.21, 0.882,Gp
331,8.41,   6.58,  0.94, 0.563,F6V
332,9.05,   5.54,  1.44, 0.160,A1/A2IV/V
333,8.79,   0.07,  0.98, 0.080,B0
334,8.88,   5.57,  1.09, 0.253,A0
335,7.59,   1.47,  0.77, 1.680,K5
336,9.6,  11.87,  1.49, 0.750,G5
337,10.66,  -1.21,  1.79, 1.450,B
338,8.55,   4.12,  0.84, 0.037,A1V
339,8.11,  14.91,  1.01, 0.484,F6V
340,9.44,   0.58,  1.57, 1.069,G8IV
341,9.6,   7.92,  1.55, 0.549,G0V
342,5.78,  11.29,  0.92, 1.084,K0III
343,10.66,   6.82,  2.40, 1.500,M5e-M7e
344,6.38,   7.75,  0.91, 0.006,A1V
345,8.8,   5.27,  1.12, 1.031,K1III
346,7.79,   2.46,  0.85,-0.089,B3V
347,8.6,  16.79,  1.13, 0.640,G5
348,7.77,   4.10,  1.06,-0.058,B8/B9V
349,10.37,  21.14,  1.62, 1.100,
350,9.8,  22.52,  1.48, 0.855,K0V
351,10.42,  12.99,  1.76, 0.800,
352,11.63,   5.72,  6.20, 0.971,
353,9.22,   3.01,  1.40, 1.001,K0
354,4.99,   2.03,  0.93, 1.619,K3Ibvar
355,8.43,   9.89,  1.10, 0.611,G0
356,7.33,  10.92,  0.64, 0.444,F2V
357,8.93,   0.95,  0.79, 1.025,G8III
358,9.09,  17.09,  0.88, 0.639,G3/G5III/IV
359,9.26,   4.67,  0.93, 1.162,K2
360,8.73,   3.40,  0.93, 1.036,K0III
361,9.18,  -0.43,  1.49, 1.169,K2III
362,8.12,   2.15,  1.05, 2.530,C5II
363,9.26,   1.99,  1.57, 1.149,K0III
364,8.94,   1.59,  1.32, 1.181,K1IV
365,6.11,   1.94,  1.12, 0.159,B9III
366,9.13,   1.38,  0.79, 0.239,A2/A3IV
367,7.9,   4.83,  1.03, 1.249,K2
368,9.34,   1.26,  1.47, 0.950,K0
369,7.13,   2.46,  0.81, 1.260,K1III
370,10.82,   0.81,  2.56, 1.021,M5
371,7.46,   4.15,  0.66, 1.072,K0/K1III
372,8.72,   1.39,  1.34, 1.508,K2
373,7.02,   6.13,  1.59, 1.100,K0
374,9.08,   6.13,  1.59,      ,
375,8.37,   4.04,  1.18, 0.881,K0
376,5.59,   5.70,  0.53,-0.100,B8III
377,7.37,  11.46,  0.84, 0.422,F5IV
378,5.68,  10.30,  0.58, 1.051,K1III
379,8.56,   7.35,  1.12, 0.792,G5
380,8.72,   2.46,  1.14,-0.014,A2
381,9.06,   4.16,  1.20, 0.368,F0V
382,8.82,   4.08,  1.20, 0.433,F0
383,8.18,   5.84,  1.20, 0.376,A5
384,9.39,   9.37,  2.81, 0.735,G5
385,9.1,  -0.59,  1.02, 0.652,B2
386,8.46,   1.61,  0.92, 0.556,F2
387,9.15,   5.46,  1.38, 0.394,A3
388,8.28,   5.65,  1.16, 0.002,A0IV
389,11.67,   4.86,  2.61,      ,F7
390,8.18,   6.95,  1.91, 0.430,G0
391,7.93,  10.47,  1.53, 0.478,F5
392,9.21,   3.05,  1.34, 0.964,K0
393,6.09,  27.18,  4.30, 0.632,G2V
394,8.31,   3.15,  1.10, 0.036,A0IV/V
395,7.83,   2.91,  0.97, 1.256,K2III
396,8.72,   3.73,  1.10, 0.082,A0
397,6.61,   2.13,  0.82, 0.025,B3V
398,6.25,   5.34,  0.77, 1.368,K4IIIb
399,7.82,  39.06,  0.93, 0.755,G9V
400,8.66,   3.49,  1.20, 1.614,K5
401,8.15,   6.02,  0.81, 0.475,F5
402,8.97,  11.56,  1.31, 0.674,G3V
403,8.15,   1.55,  1.04, 1.201,K2
404,7.47,  14.53,  1.21, 0.550,F8V
405,8.63,   1.67,  1.10, 1.570,M0
406,8.13,  22.09,  0.71, 0.710,G5V
407,8.23,   4.41,  1.10, 0.986,G9III
408,8.41,   8.49,  0.77, 0.461,F5V
409,6.47,   7.63,  0.76, 0.946,G8II
410,9.83,  -0.99,  1.46, 1.540,K5
411,8.64,   6.19,  1.54, 1.300,F5
412,7.73,  19.78,  0.87, 0.537,G0V
413,8.64,   1.96,  0.95, 0.889,G6III
414,8.94,   8.38,  1.24, 0.415,F2
415,8.84,   8.73,  1.17, 0.759,G5
416,6.32,   6.95,  0.81, 1.099,G9III:
417,5.8,   4.50,  0.56,-0.067,B8MNp...
418,8.97,   5.12,  1.34, 0.860,G8/K0V
419,7.53,  23.90,  0.85, 0.577,G0V
420,8.83,       ,      ,      ,
421,7.41,   2.53,  0.69, 1.288,K0
422,7.8,   5.43,  1.90, 0.437,F0
423,8.14,  14.25,  0.83, 0.593,G0V
424,6.71,   6.66,  0.75, 0.068,A1Vn
425,8.73,   1.42,  1.20, 1.124,K1III
426,9.37,   6.64,  8.01, 0.510,F0
427,8.69,  11.12,  1.22, 0.644,G5
428,9.95,  86.98,  1.41, 1.472,M2
429,7.1,   6.27,  0.87, 1.128,K1III
430,8.09,   2.45,  0.90, 0.496,F5
431,6.88,  10.35,  0.81, 0.174,A2
432,9.48,  -0.08,  1.69, 1.037,K2
433,9.04,   1.40,  1.32, 0.692,F2V
434,9.3,  10.28,  1.33, 0.538,F3/F5V
435,8.49,  62.48,  0.82, 1.076,K5V
436,8.3,   3.18,  1.04, 0.998,G5
437,7.95,   2.21,  1.04, 0.991,G5
438,7.08,   5.31,  0.63,-0.006,B9
439,6.93,   4.29,  0.83, 0.940,G8III/IV
440,8.38,   4.33,  1.15,-0.060,B9V
441,4.61,  25.38,  1.05, 1.029,K1III
442,8.56, 229.33,  1.08, 1.462,M2V
443,8.78,   1.29,  1.02, 1.156,K2III
444,7.42,   9.55,  0.76, 0.191,A1Vs
445,8.26,   1.69,  1.27, 1.052,G4V:p
446,7.71,   5.05,  0.64, 1.093,K0III
447,6.91,   6.75,  1.03, 1.120,G5
448,9.16,   9.89,  1.18, 0.782,G8IV
449,8.99,   3.30,  1.34, 1.199,K7
450,8.63,   4.55,  0.99, 0.460,G0
451,9.9,   2.61,  1.46, 0.599,F8
452,7.59,   4.65,  0.92, 1.045,K0
453,7.39,   4.76,  0.99, 0.990,K0III
454,11.99,   6.35, 13.02,      ,
455,7.78,   4.79,  0.99, 1.123,K0III
456,7.47,   2.01,  0.96, 1.620,M3III
457,6.97,   3.07,  0.93, 1.444,K5
458,8.82,  18.57,  0.95, 0.666,G5V
459,9.13,  22.20,  1.14, 0.735,G5
460,7.86,  11.04,  0.91, 0.494,F8
461,7.13,  19.81,  0.94, 0.446,F5
462,9.45,  -1.03,  1.35, 0.995,G8III/IV
463,12.04,   0.75, 22.30, 0.501,A0
464,8.78,   3.94,  1.45, 1.249,K2
465,7.23,   3.52,  0.83, 1.174,K0
466,9.73,   6.89,  1.46, 0.725,G5V
467,7.36,   4.25,  0.72, 0.993,K0III
468,7.36,   2.30,  0.82, 1.444,K3/K4III
469,8.47,   0.47,  0.94,-0.180,B1.5IV
470,9.37,   2.52,  1.10, 1.537,K5
471,6.99,   4.25,  0.78, 1.187,K0III
472,8.2,  85.10,  2.74, 1.410,K2
473,8.36,   7.00,  1.01, 0.247,A0
474,8.22,  21.03,  1.06, 0.636,G0
475,5.55,   8.75,  0.80, 0.901,G5III
476,9.91,   5.59,  1.70, 0.353,A9/F0V
477,9.67,   2.19,  1.68, 0.524,F3/F5V
478,8.6,   1.87,  1.29, 1.100,K1III
479,10.07,   1.32,  1.52, 0.923,G5
480,10.15,   7.28,  1.45, 0.677,G5
481,7.75,   5.95,  1.68, 0.414,F2+...
482,9.21,   4.01,  0.94, 0.097,A0
483,9.66,  -0.26,  1.41, 0.787,G5V
484,8.47,   2.62,  1.01, 0.045,A0
485,9.37,   6.18,  1.34, 0.507,F6V
486,9.44,  11.21,  1.34, 0.617,G0
487,9.99,   7.92,  1.61, 0.646,G5/G6V
488,10.38,  13.23,  1.74, 0.782,
489,7.51,  24.85,  0.92, 0.595,G0V
490,8.91,   2.92,  1.19, 1.190,K0
491,7.45,  26.24,  0.82, 0.596,F8
492,9.57,   6.50,  1.46, 0.510,G0
493,8.99,  12.99,  0.94, 0.585,F8V
494,8.58,  25.77,  2.07, 0.920,K0...
495,6.9,   5.31,  0.73, 1.564,K5
496,7.55,   7.05,  1.15, 0.300,A3
497,7.93,   4.26,  0.91, 0.239,A3
498,9.71,   0.87,  1.53, 0.915,G8IV/V
499,9.57,   1.54,  1.37, 1.812,M1/M2
500,8.55,   4.19,  1.14, 1.357,K3III
501,6.62,   2.90,  0.77, 1.531,K5III
502,7.89,   3.07,  1.01, 0.930,G5
503,7.51,   5.66,  0.82, 1.112,K1III-IV
504,7.36,   0.08,  0.65, 0.126,O6pe
505,8.66,   1.33,  1.08,-0.039,A2
506,8.51,   1.80,  0.83, 1.576,K3III
507,6.65,   3.28,  0.85, 0.912,G5
508,9.67,  13.05,  1.67, 0.633,G3V
509,7.8,  11.07,  1.00, 0.501,F5
510,8.21,   5.34,  1.01, 1.108,G5
511,7.9,   4.39,  0.96,-0.030,B9V
512,8.94,   2.09,  1.20, 1.000,K0
513,9.82,   5.66,  1.65, 0.418,F2V
514,8.69,   7.38,  1.55, 0.509,F8
515,8.57,  -0.16,  1.12, 1.612,M1III
516,8.89,   5.95,  1.14, 0.476,F5IV/V
517,5.98,  49.30,  1.05, 0.687,G5V
518,7.92,   5.38,  1.67, 0.459,F3IV
519,7.6,   2.35,  1.15, 1.539,M...
520,8.22,   4.71,  1.03, 1.220,K2
521,5.7,  39.00,  0.64, 0.519,G1IV...
522,12.17,  56.92,  2.73, 1.550,M4
523,8.75,   7.24,  1.32, 0.487,F6/F7V
524,6.93,   8.60,  0.73, 1.086,K0
525,7.97,   4.78,  0.82, 0.256,F0
526,8.06,   3.09,  0.80, 1.431,K2
527,10.13,   4.69,  1.62, 0.593,F8
528,7.31,   6.73,  0.90, 0.402,F2IV
529,8.35,   8.11,  0.91, 0.624,G1V
530,5.57,   3.32,  0.54,-0.023,B9III
531,9.85,   4.60,  1.18, 0.526,F6V
532,9.16,  -1.67,  1.78, 1.045,G8III
533,9.03,   3.63,  1.27, 1.349,K1/K2III:
534,10.07,   5.95,  1.54, 0.590,F5
535,9.76,   2.90,  1.34, 1.390,M6e
536,9.35,   3.91,  1.56, 0.410,F2V
537,10.95,  13.26,  2.41, 1.008,K1
538,8.87,   6.15,  1.06, 0.426,F8
539,6.68,   5.13,  0.79, 0.986,G9III
540,9.69,  10.02,  3.40, 0.578,F6V
541,8.05,   4.21,  1.09, 0.112,A0
542,10.3,   2.04,  1.67, 0.506,F5
543,6.07,  72.98,  0.75, 0.752,K0V
544,8.51,   4.00,  1.09, 1.107,K0
545,7.71,   5.02,  0.87, 1.038,G8III
546,8.56,   5.61,  1.12, 0.548,F7V
547,8.26,   2.44,  0.98, 1.233,K0
548,11.55,  -0.29,  2.47, 0.490,
549,8.62,   2.41,  1.12, 0.148,B9
550,10.92,   5.29,  6.06, 0.792,
551,10.51,   1.92,  2.72, 0.759,
552,9.83,   2.30, 10.40, 0.587,G2/G3V
553,9.84,   9.89,  1.59, 0.690,G0
554,9.74,   4.82,  1.50, 0.494,F8
555,8.21,   9.08,  1.09, 0.574,F8
556,8.72,   6.36,  0.97, 0.410,F4IVws
557,8.03,   1.65,  0.76, 1.631,K5p...
558,9.0,   0.55,  1.10,-0.090,F5
